,participant_0_id,participant_1_id,vendor,session,interaction,participant_0_video_file_name,participant_1_video_file_name
0,V00_S0038_I00000125_P0059A,V00_S0038_I00000125_P0060,V00,S0038,I00000125,V00_S0038_I00000125_P0059A.mp4,V00_S0038_I00000125_P0060.mp4
1,V00_S0038_I00000126_P0059A,V00_S0038_I00000126_P0060,V00,S0038,I00000126,V00_S0038_I00000126_P0059A.mp4,V00_S0038_I00000126_P0060.mp4
2,V00_S0038_I00000129_P0059A,V00_S0038_I00000129_P0060,V00,S0038,I00000129,V00_S0038_I00000129_P0059A.mp4,V00_S0038_I00000129_P0060.mp4
3,V00_S0038_I00000131_P0059A,V00_S0038_I00000131_P0060,V00,S0038,I00000131,V00_S0038_I00000131_P0059A.mp4,V00_S0038_I00000131_P0060.mp4
4,V00_S0038_I00000132_P0059A,V00_S0038_I00000132_P0060,V00,S0038,I00000132,V00_S0038_I00000132_P0059A.mp4,V00_S0038_I00000132_P0060.mp4
5,V00_S0038_I00000135_P0059A,V00_S0038_I00000135_P0060,V00,S0038,I00000135,V00_S0038_I00000135_P0059A.mp4,V00_S0038_I00000135_P0060.mp4
6,V00_S0038_I00000307_P0059A,V00_S0038_I00000307_P0060,V00,S0038,I00000307,V00_S0038_I00000307_P0059A.mp4,V00_S0038_I00000307_P0060.mp4
7,V00_S0038_I00000309_P0059A,V00_S0038_I00000309_P0060,V00,S0038,I00000309,V00_S0038_I00000309_P0059A.mp4,V00_S0038_I00000309_P0060.mp4
8,V00_S0038_I00000578_P0059A,V00_S0038_I00000578_P0060,V00,S0038,I00000578,V00_S0038_I00000578_P0059A.mp4,V00_S0038_I00000578_P0060.mp4
9,V00_S0038_I00000579_P0059A,V00_S0038_I00000579_P0060,V00,S0038,I00000579,V00_S0038_I00000579_P0059A.mp4,V00_S0038_I00000579_P0060.mp4
10,V00_S0038_I00000580_P0059A,V00_S0038_I00000580_P0060,V00,S0038,I00000580,V00_S0038_I00000580_P0059A.mp4,V00_S0038_I00000580_P0060.mp4
11,V00_S0038_I00000581_P0059A,V00_S0038_I00000581_P0060,V00,S0038,I00000581,V00_S0038_I00000581_P0059A.mp4,V00_S0038_I00000581_P0060.mp4
12,V00_S0038_I00000582_P0059A,V00_S0038_I00000582_P0060,V00,S0038,I00000582,V00_S0038_I00000582_P0059A.mp4,V00_S0038_I00000582_P0060.mp4
13,V00_S0038_I00000785_P0059A,V00_S0038_I00000785_P0060,V00,S0038,I00000785,V00_S0038_I00000785_P0059A.mp4,V00_S0038_I00000785_P0060.mp4
14,V00_S0039_I00000125_P0040A,V00_S0039_I00000125_P0061,V00,S0039,I00000125,V00_S0039_I00000125_P0040A.mp4,V00_S0039_I00000125_P0061.mp4
15,V00_S0039_I00000126_P0040A,V00_S0039_I00000126_P0061,V00,S0039,I00000126,V00_S0039_I00000126_P0040A.mp4,V00_S0039_I00000126_P0061.mp4
16,V00_S0039_I00000129_P0040A,V00_S0039_I00000129_P0061,V00,S0039,I00000129,V00_S0039_I00000129_P0040A.mp4,V00_S0039_I00000129_P0061.mp4
17,V00_S0039_I00000131_P0040A,V00_S0039_I00000131_P0061,V00,S0039,I00000131,V00_S0039_I00000131_P0040A.mp4,V00_S0039_I00000131_P0061.mp4
18,V00_S0039_I00000135_P0040A,V00_S0039_I00000135_P0061,V00,S0039,I00000135,V00_S0039_I00000135_P0040A.mp4,V00_S0039_I00000135_P0061.mp4
19,V00_S0039_I00000307_P0040A,V00_S0039_I00000307_P0061,V00,S0039,I00000307,V00_S0039_I00000307_P0040A.mp4,V00_S0039_I00000307_P0061.mp4
20,V00_S0039_I00000313_P0040A,V00_S0039_I00000313_P0061,V00,S0039,I00000313,V00_S0039_I00000313_P0040A.mp4,V00_S0039_I00000313_P0061.mp4
21,V00_S0039_I00000498_P0040A,V00_S0039_I00000498_P0061,V00,S0039,I00000498,V00_S0039_I00000498_P0040A.mp4,V00_S0039_I00000498_P0061.mp4
22,V00_S0039_I00000578_P0040A,V00_S0039_I00000578_P0061,V00,S0039,I00000578,V00_S0039_I00000578_P0040A.mp4,V00_S0039_I00000578_P0061.mp4
23,V00_S0039_I00000579_P0040A,V00_S0039_I00000579_P0061,V00,S0039,I00000579,V00_S0039_I00000579_P0040A.mp4,V00_S0039_I00000579_P0061.mp4
24,V00_S0039_I00000580_P0040A,V00_S0039_I00000580_P0061,V00,S0039,I00000580,V00_S0039_I00000580_P0040A.mp4,V00_S0039_I00000580_P0061.mp4
